text_prompt
"1. This is a dance video. Two young adult Latino boy and middle-aged South Asian person dance together in a small living room. They perform a coordinated jazz dance routine, mirroring each other's steps and turns. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Electric Guitar, Rhythm & Groove: danceable, Tempo: Mid-tempo, Genre: Power Pop, Ambiance & Emotion: Energetic, Functional Scenes: Café background music"" ; Natural language description: Mid-tempo power pop featuring electric guitar with danceable and a energetic vibe for café background music.<ENDAUDCAP>"
"11. This is a dance video. A group of 8 elderly Latina dancers move together in a city street at night. They perform a street dance routine with lively, synchronized formations. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Synthesizer, Rhythm & Groove: Repetitive loops, Tempo: Up-tempo, Genre: EDM, Ambiance & Emotion: Cheerful, Functional Scenes: Sports highlights"" ; Natural language description: Up-tempo edm featuring synthesizer with repetitive loops and a cheerful vibe for sports highlights.<ENDAUDCAP>"
"13. This is a dance video. A group of 4 young adult South Asian dancers move together in a rooftop with city lights. They perform a freestyle routine with lively, synchronized formations. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Drum Kit, Rhythm & Groove: complex polyrhythms, Tempo: Presto, Genre: Orchestral, Ambiance & Emotion: Heroic, Functional Scenes: Live performances"" ; Natural language description: Presto orchestral featuring drum kit with complex polyrhythms and a heroic vibe for live performances.<ENDAUDCAP>"
"17. This is a dance video. A group of 8 young adult Black dancers move together in a village courtyard. They perform a electronic dance routine with lively, synchronized formations. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Electric Bass, Rhythm & Groove: smooth and steady, Tempo: Slow-tempo, Genre: R&B, Ambiance & Emotion: Stirring, Functional Scenes: Café background music"" ; Natural language description: Slow-tempo r&b featuring electric bass with smooth and steady and a stirring vibe for café background music.<ENDAUDCAP>"
"18. This is a dance video. A group of 3 middle-aged white dancers move together in a city street at night. They perform a hip-hop routine with lively, synchronized formations. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Spacey Sound Effects, Rhythm & Groove: Repetitive loops, Tempo: Up-tempo, Genre: 80s Electronic, Ambiance & Emotion: Bright, Functional Scenes: Festival transitions"" ; Natural language description: Up-tempo 80s electronic featuring spacey sound effects with repetitive loops and a bright vibe for festival transitions.<ENDAUDCAP>"
"22. This is a dance video. A middle-aged East Asian boy dances alone in a bedroom with soft lighting. The person performs a freestyle routine with expressive, rhythmic movements. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Electric Bass, Rhythm & Groove: strong groove, Tempo: Mid-tempo, Genre: EDM, Ambiance & Emotion: Cheerful, Functional Scenes: Festival transitions"" ; Natural language description: Mid-tempo edm featuring electric bass with strong groove and a cheerful vibe for festival transitions.<ENDAUDCAP>"
"23. This is a dance video. A elderly Southeast Asian person dances alone in a village courtyard. The person performs a latin-inspired routine with expressive, rhythmic movements. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Wind Section, Rhythm & Groove: dynamic syncopation, Tempo: Slow-tempo, Genre: R&B, Ambiance & Emotion: Romantic, Functional Scenes: Movie chase/romance scenes"" ; Natural language description: Slow-tempo r&b featuring wind section with dynamic syncopation and a romantic vibe for movie chase/romance scenes.<ENDAUDCAP>"
"24. This is a dance video. A teenage Black woman dances alone in a tidy office space. The person performs a jazz dance routine with expressive, rhythmic movements. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Spacey Sound Effects, Rhythm & Groove: strong groove, Tempo: Mid-tempo, Genre: EDM, Ambiance & Emotion: Bright, Functional Scenes: Sports highlights"" ; Natural language description: Mid-tempo edm featuring spacey sound effects with strong groove and a bright vibe for sports highlights.<ENDAUDCAP>"
"26. This is a dance video. A middle-aged Latina girl dances alone in a gymnasium. The person performs a electronic dance routine with expressive, rhythmic movements. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: String Section, Rhythm & Groove: Repetitive loops, Tempo: Presto, Genre: Game Soundtrack, Ambiance & Emotion: Adventurous, Functional Scenes: Game combat/exploration"" ; Natural language description: Presto game soundtrack featuring string section with repetitive loops and a adventurous vibe for game combat/exploration.<ENDAUDCAP>"
"31. This is a dance video. A elderly Southeast Asian girl dances alone in a city street at night. The person performs a traditional folk routine with expressive, rhythmic movements. No other people appear in the scene.<AUDCAP>This audio has music. Music description: ""Core Instruments: Snare Drum, Rhythm & Groove: sudden stops and fills, Tempo: Up-tempo, Genre: Rock, Ambiance & Emotion: Heroic, Functional Scenes: Live performances"" ; Natural language description: Up-tempo rock featuring snare drum with sudden stops and fills and a heroic vibe for live performances.<ENDAUDCAP>"
